cell_type	cell_type_ontology_term_id	collection_name	dataset_title	count
L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	CL:4023048	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	334150
glutamatergic neuron	CL:0000679	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	282893
L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	190759
L6 corticothalamic-projecting glutamatergic cortical neuron	CL:4023042	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	148752
L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	CL:4023050	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	79508
GABAergic neuron	CL:0000617	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	61782
hippocampal neuron	CL:0002608	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	60951
sst GABAergic cortical interneuron	CL:4023017	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	45467
vip GABAergic cortical interneuron	CL:4023016	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	43684
lamp5 GABAergic cortical interneuron	CL:4023011	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	42144
L5/6 near-projecting glutamatergic neuron of the primary motor cortex	CL:4023043	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	36185
L6b glutamatergic cortical neuron	CL:4023038	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	35319
pvalb GABAergic cortical interneuron	CL:4023018	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	30461
L5 extratelencephalic projecting glutamatergic cortical neuron	CL:4023041	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	24192
corticothalamic-projecting glutamatergic cortical neuron	CL:4023013	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	22457
oligodendrocyte	CL:0000128	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	21549
pyramidal neuron	CL:0000598	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	20490
astrocyte	CL:0000127	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	18905
microglial cell	CL:0000129	Single-cell transcriptomics characterization of oligodendrocytes and microglia in white matter aging	Microglia - 24 months old wild-type and Rag1-KO	15601
sncg GABAergic cortical interneuron	CL:4023015	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	13877
L2/3 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	CL:4023047	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	13362
microglial cell	CL:0000129	Tabula Muris Senis	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	13268
L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	CL:4023048	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	12959
oligodendrocyte	CL:0000128	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	8987
macrophage	CL:0000235	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	8408
L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	7690
